epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
134,2484.86,0.99311,0.48075,1.03822,0.97273,0.92857,0.95711,0.65902,1.14375,0.45303,1.11854,0.00670825,0.00670825,0.00670825
135,2502.95,0.99941,0.48148,1.03689,0.95974,0.91575,0.95382,0.65411,1.16334,0.46246,1.13121,0.0066835,0.0066835,0.0066835
136,2521.33,1.01229,0.48622,1.03777,0.9623,0.91575,0.95242,0.65579,1.13668,0.45144,1.11469,0.00665875,0.00665875,0.00665875
137,2540.14,0.97812,0.48848,1.03601,0.95989,0.9205,0.95446,0.65933,1.12766,0.45981,1.10744,0.006634,0.006634,0.006634
138,2558.47,0.99394,0.48176,1.03346,0.97814,0.90165,0.95241,0.65681,1.12455,0.46051,1.10733,0.00660925,0.00660925,0.00660925
139,2577.11,0.99871,0.48662,1.03495,0.96855,0.90237,0.95035,0.65661,1.1353,0.46203,1.1141,0.0065845,0.0065845,0.0065845
140,2595.83,0.98896,0.481,1.03191,0.9578,0.91442,0.95299,0.65352,1.1493,0.4686,1.12123,0.00655975,0.00655975,0.00655975
141,2614.5,0.99708,0.48252,1.03474,0.96269,0.89794,0.95109,0.65764,1.12292,0.45481,1.10846,0.006535,0.006535,0.006535
142,2633.17,0.96628,0.47158,1.03031,0.96032,0.90842,0.95396,0.6522,1.14195,0.45544,1.12287,0.00651025,0.00651025,0.00651025
143,2651.88,0.96916,0.4802,1.01974,0.96303,0.92308,0.95247,0.65456,1.13471,0.44674,1.11392,0.0064855,0.0064855,0.0064855
144,2670.33,0.98197,0.47768,1.0325,0.97253,0.90781,0.95026,0.64685,1.14974,0.45469,1.1276,0.00646075,0.00646075,0.00646075
145,2689.05,0.97714,0.46768,1.02696,0.97235,0.91392,0.95438,0.64734,1.15746,0.45778,1.13373,0.006436,0.006436,0.006436
146,2707.48,0.98465,0.47662,1.03606,0.98412,0.90796,0.95148,0.65852,1.13481,0.45187,1.11691,0.00641125,0.00641125,0.00641125
147,2725.95,0.98615,0.47728,1.03374,0.96746,0.92571,0.95305,0.65922,1.12579,0.44995,1.11108,0.0063865,0.0063865,0.0063865
148,2744.87,0.96733,0.46958,1.02374,0.95152,0.92491,0.947,0.65693,1.12991,0.46365,1.11355,0.00636175,0.00636175,0.00636175
149,2763.52,0.97212,0.46502,1.04072,0.95309,0.9302,0.95626,0.65502,1.15187,0.45045,1.12392,0.006337,0.006337,0.006337
150,2782.27,0.97021,0.47631,1.02273,0.96519,0.92308,0.95205,0.65553,1.12766,0.44879,1.11695,0.00631225,0.00631225,0.00631225
151,2800.73,0.96852,0.47293,1.02778,0.96614,0.91758,0.94977,0.65685,1.1194,0.44911,1.10785,0.0062875,0.0062875,0.0062875
152,2818.82,0.97658,0.47544,1.03436,0.97083,0.91437,0.95132,0.66054,1.12412,0.44361,1.11445,0.00626275,0.00626275,0.00626275
153,2837.41,0.95623,0.47655,1.02279,0.98041,0.91662,0.95366,0.65258,1.12854,0.44344,1.12119,0.006238,0.006238,0.006238
154,2855.83,0.96343,0.47221,1.03075,0.97854,0.91575,0.95453,0.65622,1.12591,0.44479,1.11099,0.00621325,0.00621325,0.00621325
155,2874.12,0.96681,0.4768,1.02131,0.97653,0.91461,0.95342,0.65601,1.13979,0.45286,1.11765,0.0061885,0.0061885,0.0061885
156,2892.64,0.95564,0.47152,1.01857,0.97017,0.90842,0.94714,0.65104,1.13352,0.44546,1.11835,0.00616375,0.00616375,0.00616375
157,2911.27,0.94822,0.46303,1.02471,0.96547,0.92164,0.95483,0.65868,1.13421,0.44543,1.11354,0.006139,0.006139,0.006139
158,2929.74,0.96288,0.47154,1.02107,0.98023,0.91941,0.96311,0.66427,1.12843,0.44353,1.11681,0.00611425,0.00611425,0.00611425
159,2948.76,0.95417,0.46446,1.02178,0.9803,0.91115,0.95601,0.65115,1.12766,0.44196,1.11155,0.0060895,0.0060895,0.0060895
160,2967.34,0.95527,0.46635,1.01907,0.97239,0.90315,0.94643,0.65168,1.12579,0.4534,1.1149,0.00606475,0.00606475,0.00606475
161,2986.13,0.95311,0.46653,1.01681,0.97766,0.91941,0.95462,0.65188,1.12504,0.44844,1.11182,0.00604,0.00604,0.00604
162,3004.6,0.93944,0.46554,1.01048,0.96692,0.91575,0.9531,0.65587,1.1366,0.44627,1.11984,0.00601525,0.00601525,0.00601525
163,3022.92,0.9418,0.46007,1.01047,0.97246,0.90537,0.95388,0.65561,1.13704,0.44643,1.11573,0.0059905,0.0059905,0.0059905
164,3041.38,0.93284,0.45771,1.01795,0.97407,0.89927,0.95214,0.65461,1.13296,0.45537,1.11341,0.00596575,0.00596575,0.00596575
165,3060.01,0.93196,0.45972,1.00492,0.96882,0.91053,0.95791,0.66148,1.13627,0.44664,1.11495,0.005941,0.005941,0.005941
166,3078.36,0.94243,0.46499,1.00949,0.96363,0.92186,0.95706,0.66035,1.12984,0.43847,1.11648,0.00591625,0.00591625,0.00591625
167,3097.1,0.94033,0.4561,1.01372,0.95491,0.91941,0.95429,0.65748,1.12231,0.43548,1.1117,0.0058915,0.0058915,0.0058915
168,3116.26,0.92357,0.44997,1.01282,0.95846,0.92966,0.95935,0.65789,1.12158,0.43452,1.11198,0.00586675,0.00586675,0.00586675
169,3135.05,0.93677,0.46311,1.00225,0.96299,0.92491,0.95842,0.65345,1.13172,0.44491,1.11277,0.005842,0.005842,0.005842
170,3153.3,0.92804,0.45703,1.00557,0.96981,0.92491,0.95977,0.65887,1.12039,0.43889,1.10798,0.00581725,0.00581725,0.00581725
171,3171.69,0.94237,0.4663,1.00825,0.97663,0.91026,0.95792,0.66154,1.12078,0.43772,1.11559,0.0057925,0.0057925,0.0057925
172,3190.29,0.91194,0.44821,1.00519,0.9543,0.91782,0.95747,0.66276,1.12122,0.44906,1.11766,0.00576775,0.00576775,0.00576775
173,3208.61,0.91672,0.44713,1.00363,0.96193,0.91941,0.96048,0.65684,1.12531,0.4535,1.11108,0.005743,0.005743,0.005743
174,3227.1,0.92262,0.45507,1.00332,0.98037,0.90842,0.96282,0.66444,1.11491,0.44291,1.10782,0.00571825,0.00571825,0.00571825
175,3246.48,0.92992,0.46148,1.01252,0.97275,0.91941,0.96435,0.66286,1.1167,0.44014,1.10883,0.0056935,0.0056935,0.0056935
176,3265.13,0.92523,0.45828,1.00182,0.9821,0.90454,0.96237,0.66056,1.11845,0.44467,1.11213,0.00566875,0.00566875,0.00566875
177,3283.94,0.93364,0.45508,1.00762,0.96334,0.92125,0.9566,0.66001,1.11717,0.44043,1.10919,0.005644,0.005644,0.005644
178,3303.05,0.91389,0.45155,1.00483,0.96914,0.92013,0.95654,0.66589,1.10841,0.43431,1.10563,0.00561925,0.00561925,0.00561925
179,3321.49,0.92005,0.45316,1.00245,0.98416,0.91209,0.96101,0.66401,1.12347,0.43395,1.11031,0.0055945,0.0055945,0.0055945
